team,banned ind-task,,task_id,task_text
1,"1, 6",,1,"Сделать рекомендацию пользователю, которого нет в системе, но он разбирается в фильмах и хочет получить персонализированную подборку"
2,10,,2,"Сделать рекомендацию пользователю, который совсем не разбирается в фильмах, но очень хочет начать с чего-то."
3,"9, 10, 16",,3,"Как и что порекомендовать новому пользователю, который совсем не разбирается в этих ваших фильмах, но читает много книг"
4,17,,4,"Добавить в оценку качества рекомендательной системы метрику соответствия режиссеров в фильмах, которые нравятся пользователю, и в рекомендованных результатах. Т.е. итогом должен быть некий численный показатель, а не просто визуальное сравнение оценок (для произвольного пользователя)"
5,"9, 18",,5,"Добавить в оценку качества рекомендательной системы метрику соответствия актеров в фильмах, которые нравятся пользователю, и в рекомендованных результатах. Т.е. итогом должен быть некий численный показатель, а не просто визуальное сравнение оценок (для произвольного пользователя)"
6,"4, 5",,6,"Сделать рекомендацию для пользователя, который есть в системе, но хочет что-то похожее на фильм А (т.е. введенным пользователем фильм)"
7,16,,7,"Сделать рекомендацию для пользователя, который есть в системе, но хочет что-то новенькое, не похожее на его вкусы (даже если ему может не понравиться)"
8,10,,8,"Написать для построения модели CF функцию, параметром которой являются датасет с оценками пользователей, а результатом — модель, например, buildModel(reviews)."
9,9,,9,"Объединить CF и content-based рекомендации в одну функцию так, чтобы пользователям, у которых больше 3 оценок, рекомендация выдавалась согласно CF, а остальным — согласно content-based"
10,10,,10,"Добавить в content-based систему теги, оставив топ-5 самых распространенных тегов. Сравнить предсказания на одних и тех же примерах в новой (с тегами) и старой (без тегов) системе"
11,"16, 17",,11,"Сделать рекомендацию для пользователя, который есть в системе, но хочет что-то не похожее на фильм А (т.е. введенным пользователем фильм)"
12,17,,12,Сделать рекомендацию под настроение
13,,,13,"Добавить в оценку качества рекомендательной системы метрику соответствия средней оценки по MovieLens в фильмах, которые нравятся пользователю, и в рекомендованных результатах. Т.е. итогом должен быть некий численный показатель, а не просто визуальное сравнение оценок (для произвольного пользователя)"
14,,,14,"Добавить в content-based систему рассмотрение случая, когда у пользователя все оценки не больше 3. Для таких пользователей предложить отдельный способ рекомендации внутри той же функции, для пользователей с оценками больше 3 оставить первоначальный вариант"
15,,,15,"Объединить CF и content-based рекомендации в одну функцию так, чтобы пользователям, у которых средняя оценка больше 4.5, рекомендация выдавалась согласно CF, а остальным — согласно content-based"
16,16,,16,"Добавить в content-based систему переменную, которая отвечает за тональность (сентимент) названия. Сравнить предсказания на одних и тех же примерах в новой (с тегами) и старой (без тегов) системе"
17,"10, 16",,17,"Добавить в content-based систему переменную, которая отвечает за длину названия. Сравнить предсказания на одних и тех же примерах в новой (с тегами) и старой (без тегов) системе"
18,,,18,"Добавьте в функцию CF обработку случая, когда введен неверный id, выведите сообщение об этом"
19,"9, 10, 16",,,
20,,,,
21,,,,